id,feedback_text
1,Our waiter was incredibly attentive and made the whole experience wonderful.
2,Had to wait 20 minutes just to get a menu. Unacceptable.
3,The chicken was perfectly crispy and the seasoning was spot on.
4,My burger was cold and the bun was stale. Very disappointed.
5,Got our food in under 10 minutes. Impressively fast!
6,Found a hair in my soup. Absolutely disgusting.
7,The server was rude and dismissive when I asked about allergens.
8,Restaurant was spotless. Cleanest fast food place I've ever been to.
9,Great parking lot with plenty of space even during lunch rush.
10,Love the new app for ordering ahead. So convenient!
11,Our waitress went above and beyond to accommodate my dietary restrictions.
12,Waited over an hour for our order and nobody apologized.
13,The fries were soggy and clearly been sitting under the heat lamp too long.
14,The steak was cooked to perfection. Best I've had in months.
15,Bathroom was out of soap and paper towels. Not hygienic.
16,The host was very welcoming and seated us immediately despite being busy.
17,My salad had wilted lettuce and the dressing tasted off.
18,We were in and out in 15 minutes. Perfect for a quick lunch.
19,There were sticky residues on our table and the floor was dirty.
20,The new loyalty program is fantastic. Already earned a free meal!
21,Manager came to check on us twice. Really felt like they cared.
22,Pizza was cold by the time it arrived at our table even though we were sitting right there.
23,The milkshake was thick and creamy. Exactly how it should be.
24,Service was painfully slow. Our server disappeared for 20 minutes at a time.
25,Grease spots on the windows and the booth seats were torn. Place needs renovation.
26,The grilled chicken wrap was fresh and packed with flavor.
27,Had to send my order back twice because they got it wrong both times.
28,Food arrived lukewarm. Asked for it to be reheated and it came back overcooked.
29,The kids menu options are great. My children loved every bite.
30,Trash cans were overflowing in the dining area. Very off-putting.
31,Our server made excellent recommendations and knew the menu inside out.
32,We waited 45 minutes for a table even though the restaurant looked half empty.
33,Portion sizes have gotten smaller but prices keep going up.
34,The nachos were loaded and absolutely delicious. Will definitely order again.
35,Flies buzzing around the condiment station. Needs better pest control.
36,Drive-through was fast and they got our complicated order exactly right.
37,The fish tacos tasted like they were made with frozen fish. Very bland.
38,Music was way too loud. Could barely have a conversation.
39,Breakfast burrito was packed with fresh ingredients. Best morning meal deal around.
40,The table next to us was never cleaned during our entire visit. Staff walked right past it.
41,Bartender was knowledgeable and mixed the perfect cocktail.
42,It took 30 minutes just to get our drinks. Kitchen must have been backed up.
43,Bread rolls were warm and freshly baked. Such a nice touch.
44,The floor near the entrance was wet with no caution sign. Someone could slip.
45,New mobile ordering system is buggy and crashed twice while I was ordering.
46,The pulled pork sandwich was smoky and tender. Huge portion too.
47,No one greeted us when we walked in. Stood at the door for five minutes.
48,The soup of the day was rich and flavorful. Clearly made from scratch.
49,Saw a cockroach near our booth. Left immediately and will not return.
50,Outdoor patio seating is lovely. The garden area is beautifully maintained.
