id,name,brand,address,city,state,zip_code,latitude,longitude,phone,hours,features
1,KFC #1,KFC,4606 Highland Dr,Los Angeles,CA,90038,34.066143,-118.291199,(902) 954-2679,24 Hours,"dine-in,takeout"
2,Taco Bell #2,Taco Bell,1635 Market St,New York,NY,10039,40.721849,-74.052822,(108) 816-1434,24 Hours,"dine-in,delivery,takeout"
3,Pizza Hut #3,Pizza Hut,6973 Highland Dr,Chicago,IL,60667,41.899702,-87.609668,(609) 484-1106,10:00 AM - 10:00 PM,dine-in
4,Habit Burger #4,Habit Burger,5614 Elm St,Houston,TX,77021,29.744425,-95.404252,(776) 299-6881,6:00 AM - 12:00 AM,"drive-thru,takeout"
5,KFC #5,KFC,8885 Elm St,Phoenix,AZ,85058,33.479113,-112.051027,(851) 765-5803,6:00 AM - 12:00 AM,"dine-in,delivery,takeout"
6,Taco Bell #6,Taco Bell,3833 Commerce Blvd,Philadelphia,PA,19147,39.973057,-75.210618,(191) 438-2654,8:00 AM - 10:00 PM,"drive-thru,takeout"
7,Pizza Hut #7,Pizza Hut,2764 1st Ave,San Antonio,TX,78255,29.419441,-98.460189,(783) 886-5374,7:00 AM - 10:00 PM,"drive-thru,dine-in,takeout"
8,Habit Burger #8,Habit Burger,7673 2nd St,San Diego,CA,92144,32.719114,-117.186619,(928) 424-6313,6:00 AM - 11:00 PM,"dine-in,delivery,takeout"
9,KFC #9,KFC,6672 Sunset Blvd,Dallas,TX,75218,32.80888,-96.766495,(753) 780-6155,9:00 AM - 11:00 PM,"drive-thru,dine-in"
10,Taco Bell #10,Taco Bell,7617 Park Blvd,San Jose,CA,95143,37.327763,-121.844845,(952) 452-9830,10:00 AM - 12:00 AM,dine-in
11,Pizza Hut #11,Pizza Hut,3693 Park Blvd,Austin,TX,78775,30.306982,-97.75316,(787) 293-1771,7:00 AM - 10:00 PM,"drive-thru,dine-in,takeout"
12,Habit Burger #12,Habit Burger,7016 Lake Rd,Jacksonville,FL,32218,30.344945,-81.626492,(326) 590-8668,24 Hours,"drive-thru,takeout"
13,KFC #13,KFC,288 Spring St,Fort Worth,TX,76124,32.802608,-97.294722,(768) 968-5371,6:00 AM - 12:00 AM,"dine-in,takeout"
14,Taco Bell #14,Taco Bell,153 Hillcrest Ave,Columbus,OH,43243,39.94055,-83.032984,(438) 980-3927,24 Hours,"dine-in,takeout"
15,Pizza Hut #15,Pizza Hut,8417 Lake Rd,Charlotte,NC,28235,35.264152,-80.863256,(282) 582-3646,24 Hours,"drive-thru,dine-in,delivery"
16,Habit Burger #16,Habit Burger,1932 Harbor Blvd,Indianapolis,IN,46256,39.778294,-86.159239,(464) 445-1949,9:00 AM - 11:00 PM,"dine-in,takeout"
17,KFC #17,KFC,1233 Commerce Blvd,San Francisco,CA,94178,37.733465,-122.420801,(942) 331-8787,24 Hours,"drive-thru,dine-in,takeout"
18,Taco Bell #18,Taco Bell,7032 Market St,Seattle,WA,98179,47.582706,-122.294857,(983) 930-6107,8:00 AM - 10:00 PM,"dine-in,takeout,delivery,drive-thru"
19,Pizza Hut #19,Pizza Hut,2082 Highland Dr,Denver,CO,80238,39.73301,-104.988542,(801) 546-1344,24 Hours,"dine-in,delivery,takeout"
20,Habit Burger #20,Habit Burger,1064 Highland Dr,Nashville,TN,37218,36.171544,-86.830881,(370) 538-2160,24 Hours,"dine-in,delivery,takeout"
21,KFC #21,KFC,8934 Park Blvd,Oklahoma City,OK,73183,35.445448,-97.517859,(739) 684-4981,11:00 AM - 11:00 PM,dine-in
22,Taco Bell #22,Taco Bell,7162 1st Ave,Las Vegas,NV,89164,36.138941,-115.180107,(896) 678-1887,7:00 AM - 10:00 PM,"drive-thru,dine-in,delivery"
23,Pizza Hut #23,Pizza Hut,1890 Highland Dr,Portland,OR,97234,45.505462,-122.69447,(973) 749-8350,10:00 AM - 10:00 PM,dine-in
24,Habit Burger #24,Habit Burger,1335 4th St,Memphis,TN,38180,35.117849,-90.052737,(381) 251-9856,6:00 AM - 11:00 PM,"dine-in,takeout"
25,KFC #25,KFC,2824 3rd Ave,Louisville,KY,40272,38.295337,-85.72363,(407) 418-7570,6:00 AM - 11:00 PM,"drive-thru,dine-in,takeout"
26,Taco Bell #26,Taco Bell,4445 Harbor Blvd,Atlanta,GA,30368,33.736897,-84.339469,(304) 633-8973,10:00 AM - 10:00 PM,"dine-in,delivery,takeout"
27,Pizza Hut #27,Pizza Hut,9589 Hillcrest Ave,Miami,FL,33179,25.741371,-80.144929,(330) 965-6138,6:00 AM - 11:00 PM,"drive-thru,dine-in,delivery"
28,Habit Burger #28,Habit Burger,8801 Washington Ave,Minneapolis,MN,55417,44.986218,-93.264715,(558) 282-4044,7:00 AM - 10:00 PM,"dine-in,takeout"
29,KFC #29,KFC,2064 Airport Rd,Tampa,FL,33682,27.968121,-82.48368,(333) 792-1651,7:00 AM - 10:00 PM,dine-in
30,Taco Bell #30,Taco Bell,5283 Harbor Blvd,Detroit,MI,48243,42.347137,-83.039277,(483) 885-6147,9:00 AM - 11:00 PM,"drive-thru,takeout"
